Query,Brand,Attributes,Product_type
hocco choco brownie,Hocco Ice Creams,"['choco', 'brownie']",
tata cold coffee,Tata Coffee,['cold'],coffee
power bank wireless,,['wireless'],power bank
black marker pen,,['black'],marker pen
masterchow momo chutney,MasterChow,"['momo', 'chutney']",
dragon fruit red,Blue Dragon,"['dragon', 'red']",fruit
cold drink energy,HELL Energy Drink,"['cold', 'energy']",drink
bru green label,Bru,[],
parle monaco biscuit,Parle,[],biscuit
baby powder puff,Puff Daddy,[],powder puff
i love you,I Love,[],
deconstruct face wash,Deconstruct,[],face wash
alps rosemary water,,['rosemary'],water
orange food colour,Ella Foods,['orange'],food colour
o3+ face wash,O3+,[],face wash
rechargeable aa battery,Panasonic Batteries,"['rechargeable', 'aa']",battery
surf excel front load powder,Surf Excel,[],powder
secret temptation perfume,Secret temptation,[],perfume
bata formal shoes,Bata,[],formal shoes
kaffir lime leaves,Karveer,['kaffir lime'],leaves
insight lip color,Insight Cosmetics,['lip color'],
women casual shoes,Nike,"['women', 'casual']",shoes
mtr dosa mix,MTR,"['dosa', 'mix']",
white tone cream,Cream Bell,"['white', 'tone', 'cream']",
mcaffeine body wash,mCaffeine,[],body wash
gel nail polish,Nailrox,['gel'],nail polish
vit c serum,Vitcofol,['vit c'],serum
soan papdi premium,Pran,['premium'],soan papdi
one plus earbuds,Oneplus,[],earbuds
dancing cactus toy,Star toys,[],toy
philips avent feeding nipple,Philips Baby Care,['feeding'],nipple
mamaearth rosemary oil,Mamaearth,['rosemary'],oil
aashirvaad suji rava,Aashirvaad,"['suji', 'rava']",
lip balm vaseline,Vaseline,[],lip balm
dal makhani rice,Masoori rice,[],rice
lizol floral cleaner,Lizol,['floral'],cleaner
gift coffee mug,Coffee Mate,['gift'],coffee mug
b type charger,,['b type'],charger
hot bag electric,Hot Delivery Bag,"['hot', 'electric']",bag
haldiram's dal biji,Haldiram's,['dal biji'],
my muse vibrator,My Muse,[],vibrator
kids study table,,[],study table
birds of paradyes,Paradyes,[],birds
dettol cool soap,Dettol,['cool'],soap
5 liter oil,Bio Oil,['5 liter'],oil
foaming face wash,,[],face wash
double horse rice,Double Horse,[],rice
sunfeast glucose biscuits,Sunfeast,[],biscuits
organic turmeric powder,,['organic'],turmeric powder
cold coffee amul,Amul,['cold'],coffee
anniversary greeting card,,[],greeting card
doms sketch book,Doms,[],sketch book
flair ball pen,Flair Pens,[],ball pen
lakme face cream,Lakme,[],face cream
tropical fish food,Buffet Foods,['tropical'],fish food
drumstick - cut,Drum,['cut'],drumstick
dove dandruff shampoo,Dove,['dandruff'],shampoo
color protect shampoo,Vip Natural Hair Colour Shampoo,['color protect'],shampoo
pooja red cloth,Pooja Beverages,['red'],cloth
ujala liquid detergent,Ujala,[],liquid detergent
orbit chewing gum,Orbit,[],chewing gum
manna health mix,Manna,[],health mix
garlic cheese spread,Garlic,"['garlic', 'cheese']",spread
cell phone toy,Star toys,[],cell phone toy
coconut oil small,Bio Oil,['small'],coconut oil
vatika naturals shampoo,Vip Natural Hair Colour Shampoo,[],shampoo
flowers with vase,Petals,[],flowers
daily good bajra,Daily Good,[],bajra
gold flake twinpod,Gold Flake,['twinpod'],
unpolished chick peas,,['unpolished'],chick peas
zepto cafe maggi,Zepto Cafe,[],maggi
cat soft toy,Kit Cat,['soft'],toy
anti slip mat,,['anti slip'],mat
beardo hair dryer,Beardo,[],hair dryer
air wick diffuser,Air Wick,[],diffuser
nanda's cream buns,Nanda's,[],cream buns
life boy soap,Lifebuoy,[],soap
hair and care,Hair & Care,[],
chicken without skin,Porna Chicken,['without skin'],chicken
return gift for kids,,['for kids'],return gift
daily good kalonji,Daily Good,[],kalonji
rajdhani chana kabuli,Rajdhani,[],chana
green thai curry,Real Thai,['green'],curry
15 kg oil,Bio Oil,['15 kg'],oil
i phone 13,,[],i phone
shoe polish brush,,[],shoe polish brush
lg powder asafoetida,L.G,[],asafoetida
glue dot tape,,[],tape
reynolds trimax pen,Reynolds,['trimax'],pen
electric heat belt,,['electric'],heat belt
eggless cream roll,Egg Casket,['eggless'],cream roll
navratna hair oil,Navratna,[],hair oil
colgate herbal toothpaste,Colgate,['herbal'],toothpaste
super star cigarettes,Star toys,[],cigarettes
kinder harry potter,Kinder,[],
face hair removal,The Face Shop,[],hair removal
boat bassheads 100,boat,[],bassheads
good night coil,Good Knight,[],coil
project paper sheets,Paper Plane Design,[],paper sheets
britannia marie biscuit,Britannia,[],biscuit
cetaphil body wash,Cetaphil,[],body wash
baby tongue cleaner,,['baby'],tongue cleaner
mutton curry cut,Curry Cullture,"['curry', 'cut']",mutton
aluminium cake mould,,['aluminium'],cake mould
safal frozen peas,Safal,[],frozen peas
kids toy car,Star toys,['kids'],toy car
dairy milk mini,Dairy Milk,['mini'],
choco brownie fudge,The Belgian Chocolate,"['choco', 'brownie', 'fudge']",
schweppes tonic water,Schweppes,[],tonic water
body wash dove,Dove,[],body wash
socks for kids,Socksoho,['for kids'],socks
camel brush pen,Camel,[],brush pen
wagh bakri premix,Wagh Bakri,['premix'],
hand wash powder,The Natural Wash,[],hand wash powder
balaji simply salted,Balaji,['simply salted'],
teddy bear soap,Teddyy,"['teddy', 'bear']",soap
amul chocolate tub,Amul,[],chocolate tub
lumi glow cream,Glow & Lovely,"['lumi', 'glow']",cream
i phone 15,,[],iphone
garnier sheet mask,Garnier,['sheet mask'],
dhara kachhi ghani,Dhara,"['kachhi', 'ghani']",
amul milk full cream,Amul,['full cream'],milk
glass cup set,Glass Ideas,[],cup set
korean face mask,Suraksha Mask,['korean'],face mask
durex extra thin,Durex,['extra thin'],
single bed blanket,,"['single', 'bed']",blanket
anaj dhan atta,Dhanpat Rai,"['anaj', 'dhan']",atta
kiwi drain cleaner,Kiwi,[],drain cleaner
to do list,,[],list
sheba wet food,Sheba,['wet food'],
zlade ballistic trimmer,Zlade,['ballistic'],trimmer
sunflower oil 5l,Bio Oil,['5l'],sunflower oil
naga samba rava,Naga,[],samba rava
aashirvaad sharbati atta,Aashirvaad,[],atta
wow skin science,WOW Skin Science,[],
mobile pen drive,,[],pen drive
wonderchef milk frother,Wonderchef,[],milk frother
dranex drain cleaner,,[],drain cleaner
gts original rice,GTS Original,[],rice
fat burner supplement,,"['fat burner', 'supplement']",
cup noodles maggi,Maggi,[],noodles
dairy milk roasted almond,Dairy Milk,"['roasted', 'almond']",
emami sunflower oil,Emami Healthy and Tasty,[],sunflower oil
door mat set,,[],door mat set
dry fruit chocolate,Shree Ganesh Dry Fruits,['dry fruit'],chocolate
kaccha mango candy,Mango,"['kaccha', 'mango']",candy
mix dry fruit,Fruit Treat,['mix'],dry fruit
mobile holder bike,Bicycle,[],mobile holder
ice cream tubs,Hocco Ice Creams,[],ice cream tubs
oil 5 ltr,Gulab Oil,['5 ltr'],oil
make up kit,Kit Cat,[],make up kit
evil eye bracelet,Eyelet,['evil eye'],bracelet
aqualogica face wash,Aqualogica,[],face wash
vanilla ice cream cup,Cream Pot,['vanilla'],ice cream cup
kadam pakka rang,Kapiva,[],
dark chocolate peanut butter,Darkins Chocolates,"['dark chocolate', 'peanut butter']",
sugar pop lotion,SUGAR POP,[],lotion
vim bar extra,Vim,['extra'],bar
choco pie cake,Cake Mania,[],cake
women tank top,,['women'],tank top
frozen mixed veggies,Sardar Frozen Foods,"['frozen', 'mixed']",veggies
z talcum powder,Z,[],talcum powder
l'oreal color protect,L'Oreal,['color protect'],
instax mini film,Fujifilm,[],film
bru coffee powder,Bru,[],coffee powder
green tea powder,Honest Tea,"['green', 'tea', 'powder']",tea
spiral notebook unruled,,"['spiral', 'unruled']",notebook
ceo man perfume,,"['ceo', 'man']",perfume
cornetto oreo cone,Oreo,['oreo'],cone
yellow bell pepper,Dr Pepper,['yellow'],bell pepper
kindly health wipes,Kindly Health,[],wipes
teether for kids,Dentogel,['for kids'],teether
aam ki lakdi,Sharmaji Ka Aata,[],
stainless steel vessel,Limetro Steel,['stainless steel'],vessel
1 kg atta,Tota,['1 kg'],atta
id peanut chutney,iD,[],peanut chutney
honey bell cake,Cream Bell,[],cake
prestige electric kettle,Prestige,[],electric kettle
haldiram namkeen navrattan,Haldiram's,['navrattan'],namkeen
gifts for her,,['for her'],gifts
ashwini hair oil,Hairjoy,['ashwini'],hair oil
backpack for men,,['for men'],backpack
white sesame seeds,,['white'],sesame seeds
aam ka achar,Aastha,[],achar
garnier face serum,Garnier,[],face serum
freedom oil packet,Freedom,[],oil
pansari basmati rice,Pansari,[],basmati rice
chilli potato chips,Chips Ahoy,['chilli'],potato chips
columbian brew coffee,Columbian Brew,[],coffee
plum face cream,Plum,[],face cream
mangat ram pulses,Mangat Ram,[],pulses
kinder joy hary potter,Kinder Joy,['hary potter'],
bella vita white oud,Bella Vita Organic,['white oud'],
catch black pepper,Catch,['black'],pepper
parle nutricrunch digestives,Parle,"['nutricrunch', 'digestives']",
fortune sarso oil,Fortune,[],oil
himalaya hair oil,Himalaya,[],hair oil
eastern chilli powder,Eastern,[],chilli powder
kwality wall's cornetto,Kwality Wall's,[],cornetto
r for rabbit diaper,R For Rabbit,[],diaper
kinder joy harryporter,Kinder Joy,['harryporter'],
plix body wash,The Natural Wash,[],body wash
haldirams gulab jamun,Haldiram's,[],gulab jamun
sweater for women,Adidas Apparel,['for women'],sweater
coke zero can,Coke Zero,[],can
refined oil fortune,Fortune,['refined'],oil
denver body perfume,The Body Shop,[],body perfume
santoor shower gel,Santoor,[],shower gel
peanut butter 1 kg,,['1 kg'],peanut butter
zepto cafe rasmalai,Zepto Cafe,[],rasmalai
sunflower oil 15,Bio Oil,['15'],sunflower oil
bow & arrow,Arrow,[],bow & arrow
brown paper roll,Paperwrap,['brown'],paper roll
chilli chicken masala,Porna Chicken,"['chilli', 'chicken', 'masala']",
stayfree ultra dry,Stayfree,['ultra dry'],
nivea men deodorant,Nivea,[],deodorant
shampoo hair colour,Vip Natural Hair Colour Shampoo,[],shampoo
fridge storage container,,[],storage container
belgian ice cream,The Belgian Chocolate,['belgian'],ice cream
emami hair oil,Emami,[],hair oil
old spice deodorant,Old Spice,[],deodorant
linc ball pen,Linc,[],ball pen
boat airdopes 161,boat,['161'],airdopes
gush beauty nails,Gush Beauty,['nails'],
little's baby diapers,Littles Expert Baby Care,[],diapers
deo for men,Killer Deo,['for men'],deo
first aid box,,[],first aid box
matrix opti care,Matrix Opti Care,[],
britannia digestive biscuits,Britannia,[],biscuits
wildhorn men wallet,Wildhorn,['men'],wallet
lip cheek tint,Tint Cosmetics,[],lip cheek tint
milk cream biscuit,Dairy Milk,"['milk', 'cream']",biscuit
gts bullet rice,GTS Original,['bullet'],rice
veeba pizza/pasta sauce,Veeba,[],sauce
lumivolt measuring tape,Lumivolt,[],measuring tape
men gym supporter,Mr. Muscle,['men'],gym supporter
coffee powder pouch,Coffee Mate,[],coffee powder
stayfree pads xxl,Stayfree,['xxl'],pads
keyboard mouse combo,Logitech,[],combo
healthy snack biscuit,Beyond Snack,"['healthy', 'snack']",biscuit
park avenue kit,Park Avenue,[],kit
kids digital watch,,['kids'],digital watch
one plus neckband,Oneplus,[],neckband
pizza minis veg,Fasta Pizza,['veg'],pizza minis
tata gold tea,Tata Tea Gold,[],tea
plastic water jug,Big Plastics,['plastic'],water jug
masur ki daal,Masha,[],daal
dhara rice bran oil,Dhara,['rice bran'],oil
go pizza cheese,amul,"['pizza', 'cheese']",
camel oil pastels,Camel,[],oil pastels
transparent writing pad,,['transparent'],writing pad
mars matte lipstick,Mars Cosmetics,['matte'],lipstick
catch red chilli,Catch,['red'],chilli
magic hand wash,The Natural Wash,['magic'],hand wash
spf50 lip balm,Lipicure,['spf50'],lip balm
sunfeast yippee noodles,Sunfeast,[],noodles
chemist at play roll on,Chemist at Play,[],roll on
basmati rice 10 kg,Masoori rice,"['basmati', '10 kg']",rice
borosil dinner set,Larah by Borosil,[],dinner set
toilet cleaning brush,,[],toilet cleaning brush
mustard oil 5 l,,['5 l'],mustard oil
ponds white beauty cream,Pond's,['white beauty'],cream
black gym bag,Hot Delivery Bag,['black'],gym bag
maaza fruit juice,Maaza,[],fruit juice
pav bhaji pav,Pavan,[],pav
water color tube,Color Chemistry,"['water', 'color', 'tube']",
olay night cream,Olay,['night'],cream
kinder joy pack,Kinder Joy 2024,['pack'],
oil 5 l,Vimal Oil,['5 l'],oil
tender coconut fruits,Fruits,['tender'],coconut fruits
gold flake small,Gold Flake,['small'],
gold facial kit,The Face Shop,['gold'],facial kit
hully gully puff,Hully Gully,[],puff
black iphone 15,,['black'],iphone
dairy milk nuts,Dairy Milk,['nuts'],
rice brand oil,Bio Oil,['rice'],oil
hand sanitizer spray,Ocean Spray,[],hand sanitizer spray
red velvet cheesecake,Love and Cheesecake,"['red', 'velvet', 'cheesecake']",
continental instant coffee,Continental,[],instant coffee
biscuit 1 kg,,['1 kg'],biscuit
pressure water gun,,[],water gun
haldiram's nut cracker,Haldiram's,['nut cracker'],
sandwich ice cream,Ice,[],ice cream
double egg sandwich,Egg On Eggs,['double'],sandwich
sakthi chicken masala,Sakthi,[],chicken masala
korean noodles veg,Veloz,"['korean', 'veg']",noodles
love beauty planet,Love Beauty & Planet,[],
mung ki daal,Dajio,['mung'],daal
laughing cow cheese,The Laughing Cow,[],cheese
prestige pressure cooker,Prestige,[],pressure cooker
choco chip cake,Cake Mania,['choco chip'],cake
almond ice cream,Mercelys Ice Cream,['almond'],ice cream
mdh pav bhaji masala,MDH,[],pav bhaji masala
jk poppy seeds,Jk,['poppy seeds'],
gyan dairy ghee,Gyan Dairy,[],ghee
plum body perfume,Plum,[],body perfume
dove face wash,Dove,[],face wash
haldiram ready to eat,Haldiram's,['ready to eat'],
insight cosmetics primer,Insight Cosmetics,['primer'],
vitamin d supplements,Vitamin,['vitamin d'],supplements
deconstruct body wash,Deconstruct,[],body wash
sex on the beach,,[],
huggies l size,Huggies,['l size'],
dairy milk chocolates,Dairy Milk,[],chocolates
haldiram's ratlami sev,Haldiram's,['ratlami'],sev
pintola rice cakes,Pintola,[],rice cakes
vim lemon bar,Vim,['lemon'],bar
boldfit skipping rope,Boldfit,['boldfit'],skipping rope
go cheese spread,Go,"['cheese', 'spread']",
hand wash refill,The Natural Wash,[],hand wash
tooth brush stand,,[],tooth brush stand
mdh chicken masala,MDH,[],chicken masala
aashirvaad atta 2kg,Aashirvaad,['2kg'],atta
all out machine,All Out,[],machine
sweet corn kernels,Cornitos,"['sweet', 'corn', 'kernels']",
front loading liquid detergent,,"['front loading', 'liquid']",detergent
body wash for men,The Natural Wash,['for men'],body wash
lightning charging cable,,"['lightning', 'charging']",cable
dalda soyabean oil,Dalda,[],soyabean oil
groundnut oil gulab,Gulab,['groundnut'],oil
pediasure kids' nutrition,PediaSure,"[""kids' nutrition""]",
craft toy kid,Play Craft,"['craft', 'kid']",toy
ankle length socks,,['ankle length'],socks
narasus filter coffee,Narasus,[],filter coffee
bella vita white,Bella Vita Organic,['white'],
britannia nice time,Britannia,['nice time'],
fruit n nut,Fruits,[],fruit n nut
clean and clear face wash,Clean & Clear,[],face wash
dove shampoo pouch,Dove,"['shampoo', 'pouch']",
act ii nachos,Act II,[],nachos
on mass gainer,ON,[],mass gainer
yoga bar peanut butter,Yoga Bar,['peanut butter'],
penguin soft toy,Toy Cloud,['soft'],toy
sugar free muesli,Sugar Free,['sugar free'],muesli
mortar and pestle,,[],mortar and pestle
durex chocolate condoms,Durex,['chocolate'],condoms
cottony sanitary pads,Cotton Mouth,['cottony'],sanitary pads
urad dal chilka,Shudh Urja,"['urad', 'chilka']",dal
amul chocolate cone,Amul,[],chocolate cone
masoor whole daal,Masoor Dal,"['masoor', 'whole']",daal
kinder schoko bons chocolates,Kinder Schoko Bons,[],chocolates
amul safed makkhan,amul,['safed makkhan'],
art & craft,Play Craft,[],art & craft
daily good singdana,Daily Good,[],singdana
daily good chakki atta,Daily Good,[],chakki atta
bangle for women,,['for women'],bangle
omega 3 capsule,Omega,['omega 3'],capsule
rum and raisins,Raisin,[],
slurrp farm cookies,Slurrp Farm,[],cookies
bonkerz men's slippers,Bonkerz,"[""men's""]",slippers
wine facial kit,,['wine'],facial kit
active dog food,Active,['active'],dog food
peri peri seasoning,Perinorm,['peri peri'],seasoning
ready to eat chicken,Real Good Chicken,"['ready to eat', 'chicken']",
brown shoe polish,Polish Me Pretty,['brown'],shoe polish
copper tongue cleaner,,['copper'],tongue cleaner
floor cleaning mop,,[],mop
body wash refill,The Natural Wash,['refill'],body wash
camlin compass box,Camlin Kokuyo,[],compass box
stayfree dry max,Stayfree,"['dry', 'max']",
gifting bag small,Hot Delivery Bag,['small'],gifting bag
larah by borosil,Larah by Borosil,[],
cetaphil moisturizer cream,Cetaphil,"['moisturizer', 'cream']",
amul vanilla ice cream,Amul,['vanilla'],ice cream
iphone 16 case,,[],case
type c to c cable,,['type c to c'],cable
tropicana orange juice,Tropicana,['orange'],juice
anti-hair fall shampoo,Vip Natural Hair Colour Shampoo,['anti-hair fall'],shampoo
soulflower rosemary oil,Soulflower,['rosemary'],oil
wishcare body lotion,WishCare,[],body lotion
bath and body,Bath Basics,[],bath and body
remote control vehicle,,[],vehicle
bike hand gloves,,[],gloves
all in one mixture,Smooth Mix,['all in one'],mixture
daadi's shakkar para,Daadi's,[],shakkar para
havells tube light,Havells,[],tube light
lipton darjeeling tea,Lipton,['darjeeling'],tea
low fat panner,Pan,['low fat'],panner
water based lubricant,Lubrifresh,['water based'],lubricant
crompton immersion rod,,[],immersion rod
cetaphil body lotion,Cetaphil,[],body lotion
tide top load,Tide,[],top load
skimmed milk powder,amul,['skimmed'],milk powder
fortune soya oil,Fortune,[],soya oil
whey protein isolate,Green Protein,"['whey', 'protein', 'isolate']",
pillsbury multigrain atta,Pillsbury,['multigrain'],atta
yoga mat 6mm,,['6mm'],yoga mat
cake for birthday,Cake Mania,['for birthday'],cake
kids pencil box,,['kids'],pencil box
veerabhadra green batana,Veerabhadra,['green'],batana
induction pressure cooker,,[],pressure cooker
cadbury choclayered cakes,Cadbury,['choclayered'],cakes
salt & pepper,Salt,[],salt & pepper
face hair remover,Hair,[],hair remover
chicken tikka pizza,Fasta Pizza,[],pizza
jasco idli maker,Jasco,[],idli maker
amul family pack,Amul,['family pack'],
spigen screen guard,Spigen,[],screen guard
chocolate protein bar,The Belgian Chocolate,['chocolate'],protein bar
chicken fry masala,Sparsh Masala,"['chicken', 'fry', 'masala']",
moxie beauty shampoo,Moxie Beauty,[],shampoo
parachute jasmine oil,Parachute,['jasmine'],oil
coco peat block,Coco Soul,[],coco peat block
vlcc body lotion,VLCC,[],body lotion
classic mild cigarette,Classic,['mild'],cigarette
eggless plum cake,Plum,"['eggless', 'plum']",cake
kaju 1 kg,Kapi,['1 kg'],kaju
karachi bakery muffins,Karachi Bakery,[],muffins
garbage bag roll,Rollick,[],garbage bag
loreal hair color,L'Oreal,[],hair color
happy new year banner,Banner & Co,"['happy', 'new year']",banner
low sodium salt,Salt,['low sodium'],salt
birthday gift for girls,,"['birthday gift', 'for girls']",
britannia atta bread,Britannia,[],bread
saffola plain oats,Saffola,['plain'],oats
baby shower gift,Shower To Shower,"['baby shower', 'gift']",
washing machine powder,The Natural Wash,[],washing machine powder
maybelline fit me,Maybelline,['fit me'],
bblunt heat protection,Bblunt,['heat protection'],
dry coconut powder,,['dry'],coconut powder
all out liquid,All Out,[],liquid
zero sugar coke,Coke Zero,['zero sugar'],coke
cloth drying stand,,[],drying stand
mr bean chocolate,Country Bean,[],chocolate
oye happy calendar,Oye Happy,[],calendar
wishcare ceramide balm,WishCare,['ceramide'],balm
blood pressure machine,,[],machine
bags for women,Hot Delivery Bag,['for women'],bags
parker gift set,Parker,['gift set'],
cricket wind balls,Cricket Lighters,['wind'],balls
green food colour,Green Protein,['green'],food colour
new born baby diaper,Littles Expert Baby Care,['new born'],diaper
scotch brite mop,Scotch-Brite,[],mop
lion qyno dates,Lion Dates,[],dates
black current ice cream,Hocco Ice Creams,['black current'],ice cream
almond crunch butter,Nutter Butter-S,"['almond', 'crunch']",butter
sunfeast choco pie,Sunfeast,['choco pie'],
bare anatomy serum,Bare Anatomy,['serum'],
aqualogica body mist,Aqualogica,[],body mist
atogla baby cream,Atogla,[],baby cream
ammamma's dosa batter,Ammamaa's,[],dosa batter
soft bristle toothbrush,,['soft bristle'],toothbrush
cetaphil gentle cleanser,Cetaphil,['gentle'],cleanser
aashirvaad atta 1 kg,Aashirvaad,['1 kg'],atta
prolume hair clip,Scalpe Pro,['prolume'],hair clip
doms colour pencil,Doms,[],colour pencil
zepto cafe chole,Zepto Cafe,[],chole
milky mist cream,Milky Mist,['cream'],
pee safe pads,Pee Safe,[],pads
aashirvaad wheat atta,Aashirvaad,[],wheat atta
kissan mixed fruit,Kissan,['mixed fruit'],
cetaphil baby bar,Cetaphil,['baby'],bar
soft tennis ball,,['soft'],tennis ball
afzal hookah flavours,Afzal,[],hookah flavours
moong dal papad,Ganesh Papad,['moong dal'],papad
methi leaves leaflets,,['methi leaves'],leaflets
sebamed gentle wash,Sebamed,['gentle'],wash
sunlight liquid detergent,Sunlight,[],liquid detergent
dark chocolate 70,Darkins Chocolates,"['dark', '70']",chocolate
pregnancy detection kit,Pregnacare,[],detection kit
patanjali amla juice,Patanjali,[],amla juice
sweet corn pack,Omypop Popcorn,"['sweet', 'pack']",corn
ice cream chocobar,Hocco Ice Creams,['chocobar'],ice cream
bajaj immersion heater,bajaj,[],immersion heater
farmley chia seeds,Farmley,[],chia seeds
mi tv remote,,[],tv remote
dove intense shampoo,Dove,['intense'],shampoo
potato fresh vegetables,Mister Potato Crisps,['fresh'],vegetables
girnar detox tea,Girnar,['detox'],tea
phone back cover,,[],back cover
snacks for kids,Snackers,['for kids'],snacks
fried rice mix,Masoori rice,"['fried', 'rice', 'mix']",
tata sampann rajma,Tata Sampann,[],rajma
nescafe coffee sachet,Nescafe,[],coffee sachet
vicco tooth powder,Vicco,[],tooth powder
harry potter edition kinder joy,Kinder Joy 2024,['harry potter edition'],kinder joy
sprouted green chana,,"['sprouted', 'green']",chana
bingo potato chips,Bingo!,[],potato chips
twinings green tea,Twinings,['green'],tea
dr sheth sunscreen,Dr. Sheth's,[],sunscreen
mother dairy yogurt,Mother Dairy,[],yogurt
my muse massager,My Muse,[],massager
fit me powder,Maybelline,['fit me'],powder
claw hair accessories,Hair,[],hair accessories
parle coconut biscuits,Parle,[],biscuits
ice cream hocco,Hocco Ice Creams,[],ice cream
ready to cook curry,Curry Cullture,['ready to cook'],curry
whole wheat chapathi,Chappi,['whole wheat'],chapathi
patanjali dant manjan,Patanjali,[],dant manjan
gulab cottonseed oil,Gulab,['cottonseed'],oil
boat rockerz neckband,boat,[],neckband
power bank 20000,,['20000'],power bank
clinic plus oil,Clinic Plus,[],oil
collagen sheet mask,,['collagen'],sheet mask
fortune sona masoori,Fortune,['sona masoori'],
aveeno baby wash,Aveeno Baby,[],wash
dove hair fall,Dove,['hair fall'],
mother dairy full cream,Mother Dairy,['full cream'],
harry potter wala kinder joy,Kinder Joy 2024,['harry potter wala'],
lal kaju katli,Lal Sweets,"['kaju', 'katli']",
jeans for women,The Purani Jeans,['for women'],jeans
chocolate share pack,The Belgian Chocolate,"['chocolate', 'share pack']",
udhaiyam toor dhall,Udhaiyam,[],toor dhall
pani puri packet,Pansa,[],pani puri packet
l'oreal total repair,L'Oreal,['total repair'],
sugar free mint,Sugar Free,"['sugar free', 'mint']",
usb wifi adapter,,[],wifi adapter
dark circles patch,Nu Patch,['dark circles'],patch
hary potter kinder joy,Haus & Kinder,[],
real pineapple juice,Dabur Real,['pineapple'],juice
bhagyalakshmi ragi flour,Bhagyalakshmi,['ragi'],flour
c type earphone,Sennheiser,[],earphone
adidas sports shoes,Adidas,[],sports shoes
carrom board set,HB Set,[],carrom board set
godrej protekt handwash,Godrej Protekt,[],handwash
bella vita ceo,Bella Vita Organic,[],
777 gingelly oil,777,[],gingelly oil
beast life protein,Beast Life,[],protein
choco milk stick,GO CHOCO,['choco'],milk stick
use and throw,Full Toss,['use and throw'],
koala sanitary pads,,[],sanitary pads
use and throw plates,,['use and throw'],plates
biotique face cream,Biotique,[],face cream
hair removal cream for men,,['for men'],hair removal cream
ready to eat food,Meal Time,[],food
pav bhaji bun,Bhujialalji,[],bun
fevicryl acrylic paint,Fevicryl,[],acrylic paint
organic curry leaves,Zama Organics,['organic'],curry leaves
santoor turmeric soap,Santoor,['turmeric'],soap
gir cow milk,Dairy Milk,[],milk
max protein biscuit,Max Protein,[],biscuit
tamil ponni rice,Masoori rice,"['tamil', 'ponni']",rice
hocco matka kulfi,Hocco Ice Creams,"['matka', 'kulfi']",
daily good peanut,Daily Good,[],peanut
water 10 liter,,['10 liter'],water
daily good makhana,Daily Good,[],makhana
kurkure naughty tomato,Kurkure,"['naughty', 'tomato']",
pop up toaster,,[],toaster
parle melody chocolaty,Parle,['chocolaty'],melody
ariel matic top load,Ariel,"['matic', 'top load']",
strip led light,Philips LED,['strip'],led light
alcohol based sanitizer,,['alcohol based'],sanitizer
washing machine drum cleaner,Drum,['drum cleaner'],washing machine
se7en ice cream stick,Se7en,[],ice cream stick
odonil bathroom freshener,Odonil,[],bathroom freshener
the moms co shampoo,The Moms Co,[],shampoo
amazon fire tv stick,Amazon,[],fire tv stick
the whole truth protein powder,The Whole Truth,[],protein powder
surf excel top load powder,Surf Excel,[],powder
badam 1 kg,,['1 kg'],badam
face cream for men,The Face Shop,['for men'],face cream
26 kg rice,Masoori rice,['26 kg'],rice
adukale congress kadlekayi,Adukale,[],kadlekayi
body shop shampoo,The Body Shop,[],shampoo
johnson & johnson,Johnson's Baby,[],
kashmiri red chilli,Kashmira,"['kashmiri', 'red']",chilli
sri sri tattva,Sri Sri Tattva,[],
hot water rod,,[],water rod
ice cube combo,ICE CUBEs,[],combo
water 5 ltr,Booster Water,['5 ltr'],water
keo karpin body oil,Karpin,[],body oil
parle melody toffee,Parle,"['melody', 'toffee']",
amrutanjan corn caps,Amrutanjan,[],corn caps
swetha telugu foods,Swetha Telugu Foods,[],
octane fountain pen,,[],fountain pen
digitek smartphone gimbal,Digitek,[],gimbal
kinder joy box,Kinder Joy 2024,[],box
games for kids,Rockstar Games,['for kids'],games
britannia sugar free biscuits,Britannia,['sugar free'],biscuits
lijjat moong papad,Lijjat,[],moong papad
korean cheese noodles,Kodai Cheese,"['korean', 'cheese']",noodles
gifting for kids,Mars Gifting,"['gifting', 'for kids']",
plus ear bud,,['plus'],ear bud
chicken kabab masala,Sakthi Masala,"['chicken', 'kabab', 'masala']",
nabati richeese wafer,Nabati,['richeese'],wafer
sugar free sweets,Sugar Free,['sugar free'],sweets
whisper ultra xl,Whisper,"['ultra', 'xl']",
sweet lime pickle,,['sweet lime'],pickle
real activ cranberry,Dabur Real,['cranberry'],
itc french fries,ITC Master Chef Frozen,['french fries'],
clinic plus hair shampoo,Clinic Plus,[],hair shampoo
appy fizz can,Appy,[],fizz can
fruit and nut dairy milk,Dairy Milk,['fruit and nut'],
renee lip balm,Renee,[],lip balm
morelight detergent liquid,Morelight,[],detergent liquid
bblunt hair mask,Bblunt,['hair mask'],
memory card reader,SanDisk,[],memory card reader
5 litre oil,Bio Oil,['5 litre'],oil
minimalist body wash,Minimalist,['minimalist'],body wash
ice cream magnum,Ice,[],ice cream
ice cream brownie,HB Brownies,"['ice cream', 'brownie']",
the whole truth whey,The Whole Truth,[],whey
cetaphil skin cleanser,Cetaphil,[],skin cleanser
chili cheese toast,Simply Cheese,"['chili', 'cheese']",toast
amulya milk powder,Amulya,[],milk powder
white acrylic paint,Nippon Paint,"['white', 'acrylic']",paint
just herbs shampoo,Justherbs,[],shampoo
maaza mango drink,Maaza,['mango'],drink
soup bowl set,Farm Bowl,[],bowl set
